,action,value
2021-06-10,DIVIDEND,0.54
2021-03-11,DIVIDEND,0.49
2020-12-03,DIVIDEND,0.49
2020-09-10,DIVIDEND,0.49
2020-06-11,DIVIDEND,0.49
2020-03-12,DIVIDEND,0.47
2019-12-12,DIVIDEND,0.47
2019-09-12,DIVIDEND,0.47
2019-06-13,DIVIDEND,0.47
2019-03-14,DIVIDEND,0.44
2018-12-13,DIVIDEND,0.44
2018-09-13,DIVIDEND,0.44
2018-06-14,DIVIDEND,0.44
2018-03-15,DIVIDEND,0.38
2017-12-14,DIVIDEND,0.38
2017-09-14,DIVIDEND,0.38
2017-06-14,DIVIDEND,0.38
2017-03-15,DIVIDEND,0.32
2016-12-14,DIVIDEND,0.32
2016-09-14,DIVIDEND,0.32
