,action,value
2021-06-14,DIVIDEND,0.69
2021-03-12,DIVIDEND,0.69
2020-12-14,DIVIDEND,0.69
2020-09-14,DIVIDEND,0.66
2020-06-12,DIVIDEND,0.66
2020-03-13,DIVIDEND,0.66
2019-12-13,DIVIDEND,0.66
2019-09-13,DIVIDEND,0.62
2019-06-14,DIVIDEND,0.62
2019-03-14,DIVIDEND,0.62
2018-12-14,DIVIDEND,0.62
2018-09-13,DIVIDEND,0.56
2018-06-14,DIVIDEND,0.56
2018-03-14,DIVIDEND,0.56
2017-12-15,DIVIDEND,0.56
2017-09-14,DIVIDEND,0.51
2017-06-13,DIVIDEND,0.51
2017-03-13,DIVIDEND,0.51
2016-12-13,DIVIDEND,0.51
2016-09-13,DIVIDEND,0.46
