,action,value
2021-06-14,DIVIDEND,1.0
2021-03-12,DIVIDEND,1.0
2020-12-14,DIVIDEND,0.9
2020-09-14,DIVIDEND,0.9
2020-06-12,DIVIDEND,0.9
2020-03-13,DIVIDEND,0.9
2019-12-13,DIVIDEND,0.9
2019-09-13,DIVIDEND,0.9
2019-06-13,DIVIDEND,0.9
2019-03-14,DIVIDEND,0.86
2018-12-13,DIVIDEND,0.86
2018-09-13,DIVIDEND,0.86
2018-06-14,DIVIDEND,0.86
2018-03-14,DIVIDEND,0.78
2017-12-14,DIVIDEND,0.78
2017-09-14,DIVIDEND,0.78
2017-06-13,DIVIDEND,0.78
2017-03-13,DIVIDEND,0.78
2016-12-15,DIVIDEND,0.78
2016-09-13,DIVIDEND,0.78
