,action,value
2021-08-18,DIVIDEND,0.16
2021-05-19,DIVIDEND,0.16
2021-02-17,DIVIDEND,0.16
2020-11-18,DIVIDEND,0.15
2020-08-19,DIVIDEND,0.15
2020-05-20,DIVIDEND,0.15
2020-02-19,DIVIDEND,0.29
2019-11-20,DIVIDEND,0.288
2019-08-14,DIVIDEND,0.288
2019-05-15,DIVIDEND,0.288
2019-02-20,DIVIDEND,0.288
2018-11-14,DIVIDEND,0.278
2018-08-15,DIVIDEND,0.278
2018-05-16,DIVIDEND,0.278
2018-02-14,DIVIDEND,0.278
2017-11-15,DIVIDEND,0.268
2017-08-14,DIVIDEND,0.268
2017-05-12,DIVIDEND,0.268
2017-02-14,DIVIDEND,0.268
2016-11-14,DIVIDEND,0.258
