,action,value
2021-06-29,DIVIDEND,0.98
2021-03-30,DIVIDEND,0.98
2020-12-30,DIVIDEND,0.98
2020-09-29,DIVIDEND,0.98
2020-06-29,DIVIDEND,0.98
2020-03-30,DIVIDEND,0.98
2019-12-30,DIVIDEND,0.98
2019-09-27,DIVIDEND,0.95
2019-06-27,DIVIDEND,0.95
2019-03-28,DIVIDEND,0.95
2018-12-28,DIVIDEND,0.95
2018-09-27,DIVIDEND,0.95
2018-06-28,DIVIDEND,0.8
2018-03-28,DIVIDEND,0.8
2017-12-28,DIVIDEND,0.8
2017-09-28,DIVIDEND,0.75
2017-06-28,DIVIDEND,0.75
2017-03-29,DIVIDEND,0.75
2016-12-28,DIVIDEND,0.75
2016-09-28,DIVIDEND,0.65
